ID Comet;NÚMERO de Estación ;NOMBRE;DIRECCIÓN;BARRIO;COMUNA;EMPLAZAMIENTO;LATITUD;LONGITUD
364;381;MATIENZO Y ARCE ;Tte. Benjamín Matienzo 1998;PALERMO;COMUNA 14;VEREDA;-34.570161;-58.435580
366;360;PLAZA RAMON FALCON;Cnel. Ramón L. Falcón 3992;VELEZ SARSFIELD;COMUNA 10;PLAZA;-34.6354;-58.4827
367;287;BELAUSTEGUI;Dr. Luis Belaustegui 2910;VILLA SANTA RITA;COMUNA 11;VEREDA;-34.61666;-58.47771
368;378;AGRONOMIA;San Martin 4351;AGRONOMIA;COMUNA 15;VEREDA;-34.5983;-58.4817
369;304;NAVARRO;Navarro 2625;AGRONOMIA;COMUNA 15;CALZADA;-34.5923;-58.4919
370;305;PLAZA MARTIN RODRIGUEZ;Pareja 3016;VILLA PUEYRREDON;COMUNA 12;CALZADA;-34.591;-58.5004
371;269;PLAZA DE LA MISERICORDIA;Lautaro 400;FLORES;COMUNA 7;CALZADA;-34.632024;-58.455436
372;322;MARTI Y DIRECTORIO;José Marti 404;FLORES;COMUNA 7;CALZADA;-34.6365;-58.4701
373;265;PLAZA EXODO JUJEÑO;Liverpool 2812;PARQUE CHAS;COMUNA 15;CALZADA;-34.5826;-58.481
374;367;EVA PERON;Primera Junta 3898;PARQUE AVELLANEDA;COMUNA 9;VEREDA;-34.6472;-58.4698
375;301;ARREGUI Y TERRADA;Arregui 2792;VILLA DEL PARQUE;COMUNA 11;CALZADA;-34.6049;-58.4848
376;324;LAS VICTORIAS;Av. Gaona 4660;FLORESTA;COMUNA 10;PLAZA CERRADA;-34.627116;-58.488456
378;215;HOSPITAL ALVAREZ;Bolivia 683;FLORES;COMUNA 7;CALZADA;-34.6231;-58.4683
379;390;DE LOS OMBÚES;Av. de los Ombúes 300;PALERMO;COMUNA 14;PARQUE;-34.5602;-58.4281
381;274;GAVILÁN;Gavilán 1200;VILLA GENERAL MITRE;COMUNA 11;VEREDA; -34.616059;-58.465886
382;204;BIARRITZ;Biarritz 2403;VILLA DEL PARQUE;COMUNA 11;CALZADA;-34.6055;-58.4774
383;263;PLAZA ECHEVERRIA ;Av. Triunvirato 5100;VILLA URQUIZA;COMUNA 12;PLAZA CERRADA;-34.571997;-58.489444
384;267;PLAZA 25 DE AGOSTO;Giribone 1436;VILLA ORTUZAR;COMUNA 15;PLAZOLETA;-34.5798;-58.4619
385;268;PLAZA ARISTOBULO DEL VALLE;Campana 2628;VILLA DEL PARQUE;COMUNA 11;CALZADA;-34.6064;-58.4932
386;277;COGHLAN;Estomba 2647;COGHLAN;COMUNA 12;VEREDA;-34.5658;-58.4755
387;278;DONATO ALVAREZ;Juan Agustin Garcia 1540 ;LA PATERNAL;COMUNA 15;CALZADA;-34.602;-58.4656
392;297;TRONADOR Y GARCIA DEL RIO;Garcia del Rio 4119;SAAVEDRA;COMUNA 12;VEREDA;0;0
393;300;JOSE ARTIGAS;Av. Del Campo 1301;LA PATERNAL;COMUNA 15;VEREDA;-34.5905;-58.4669
395;303;HUAURA;Huaura 1405;VILLA CRESPO;COMUNA 15;VEREDA;-34.5973;-58.4532
400;313;DE LOS INCAS;Av. de los Incas 4138;VILLA ORTUZAR;COMUNA 15;VEREDA;-34.57899;-58.46982
403;316;BUENOS AIRES;Suárez 3150;BARRACAS;COMUNA 4;PLAZA;-34.644761;-58.394418
407;330;PARQUE AVELLANEDA;Remedios 3895;PARQUE AVELLANEDA;COMUNA 9;CALZADA;-34.6423;-58.4783
408;364;CERETTI Y MANUELA PEDRAZA;Ceretti 3407;VILLA URQUIZA;COMUNA 12;CALZADA;-34.5691;-58.5003
